ID,LocalDate,LocalTime,GMTDate,GMTTime,lat,long,Temperature,Speed,Direction,Altitude,Cov,HDOP,Distance,Count
1SAT32,2011-10-26,07:40:35 AM,2011-10-25,11:40:35 PM,2.437206,185.111301,24.5,0.24,0,16.7c,0,1.64,0,1
2SAT32,2011-10-26,03:41:35 PM,2011-10-26,07:41:35 AM,2.433402,185.108162,29,0.76,0,65.4c,0,1.74,548,2
3SAT32,2011-10-26,11:40:35 PM,2011-10-26,03:40:35 PM,2.433734,185.108599,27,0.86,0,d72.3,0,2.18,61,3
4SAT32,2011-10-27,11:40:34 PM,2011-10-27,03:40:34 PM,2.455738,185.18364,28,0.16,0,43.3c,0,1.89,8669,4
5SAT32,2011-10-28,07:42:53 AM,2011-10-27,11:42:53 PM,2.456503,185.187684,27.5,1.46,0,25.0c,1,2.5,456,5
6SAT32,2011-10-28,03:41:05 PM,2011-10-28,07:41:05 AM,2.483344,185.232541,33.5,0.06,0,40.8c,5,1.45,5800,6
7SAT32,2011-10-28,03:41:05 PM,2011-10-28,07:41:05 AM,2.483344,185.232541,33.5,0.06,0,40.8c,5,1.45,0,7
8SAT32,2011-10-28,03:41:05 PM,2011-10-28,07:41:05 AM,2.483344,185.232541,33.5,0.06,0,40.8c,5,1.45,0,8
9SAT32,2011-10-28,07:40:34 PM,2011-10-28,11:40:34 AM,2.479701,185.243606,29,0.14,0,13.8c,4,0.95,1291,9
10SAT32,2011-10-28,07:40:34 PM,2011-10-28,11:40:34 AM,2.479701,185.243606,29,0.14,0,13.8c,5,0.95,0,10
11SAT32,2011-10-28,11:42:05 PM,2011-10-28,03:42:05 PM,2.483136,185.238404,29,0.02,0,13.9c,0,1.68,692,11
12SAT32,2011-10-29,03:41:53 AM,2011-10-28,07:41:53 PM,2.485262,185.238149,28,0.04,0,18.7c,1,1.63,238,12
13SAT32,2011-10-29,07:41:23 AM,2011-10-28,11:41:23 PM,2.485783,185.238965,28,0.42,0,d12.0,0,2.67,107,13
14SAT32,2011-10-29,07:41:53 PM,2011-10-29,11:41:53 AM,2.472221,185.262163,28.5,0.72,0,11.9c,0,2.11,2981,14
15SAT32,2011-10-29,11:43:01 PM,2011-10-29,03:43:01 PM,2.474822,185.268781,28.5,0.72,0,1.5cd,0,2.96,788,15
16SAT32,2011-10-30,03:40:34 AM,2011-10-29,07:40:34 PM,2.477374,185.265969,27,0.82,0,7.1cd,2,2.09,422,16
17SAT32,2011-10-30,07:41:05 AM,2011-10-29,11:41:05 PM,2.481323,185.263914,27,1,0,3.2cd,0,1.85,495,17
18SAT32,2011-10-30,07:41:05 AM,2011-10-29,11:41:05 PM,2.481323,185.263914,27,1.02,0,3.2cd,3,1.85,0,18
19SAT32,2011-10-30,11:40:58 AM,2011-10-30,03:40:58 AM,2.484679,185.259586,31.5,0.65,0,17.6c,1,1.74,608,19
20SAT32,2011-10-30,07:40:34 PM,2011-10-30,11:40:34 AM,2.490855,185.271538,28,0.52,0,9.0cd,5,1.79,1492,20
21SAT32,2011-10-30,11:40:34 PM,2011-10-30,03:40:34 PM,2.491267,185.271123,27,0.88,0,18.9c,5,1.04,65,21
22SAT32,2011-10-31,03:40:34 AM,2011-10-30,07:40:34 PM,2.491361,185.270082,26.5,0.25,0,10.5c,5,1.4,116,22
23SAT32,2011-10-31,07:40:34 AM,2011-10-30,11:40:34 PM,2.49392,185.268887,27.5,0.21,0,23.9c,1,1.89,314,23
24SAT32,2011-10-31,11:41:05 AM,2011-10-31,03:41:05 AM,2.495374,185.268407,31,0.21,0,27.1c,0,1.52,170,24
25SAT32,2011-10-31,03:40:34 PM,2011-10-31,07:40:34 AM,2.483728,185.282755,31.5,1.11,0,10.6c,5,1.42,2051,25
26SAT32,2011-10-31,07:40:34 PM,2011-10-31,11:40:34 AM,2.491247,185.289564,30,0.58,0,9.9cd,5,1.17,1127,26
27SAT32,2011-10-31,11:40:34 PM,2011-10-31,03:40:34 PM,2.490913,185.293255,28.5,0.79,0,21.3c,5,1.77,411,27
28SAT32,2011-11-01,03:40:53 AM,2011-10-31,07:40:53 PM,2.49026,185.292553,28,0.1,0,55.1c,0,3.08,106,28
29SAT32,2011-11-01,07:41:05 AM,2011-10-31,11:41:05 PM,2.490226,185.29154,28,0.47,0,3.7cd,0,5.96,112,29
30SAT32,2011-11-01,11:40:59 AM,2011-11-01,03:40:59 AM,2.487352,185.292112,31.5,0.17,0,23.1c,5,1.63,326,30
31SAT32,2011-11-01,03:40:34 PM,2011-11-01,07:40:34 AM,2.491748,185.290202,32,0.26,0,14.6c,5,0.85,533,31
32SAT32,2011-11-01,07:40:34 PM,2011-11-01,11:40:34 AM,2.493246,185.2897,29.5,0.06,0,28.6c,5,1.63,176,32
33SAT32,2011-11-01,11:40:34 PM,2011-11-01,03:40:34 PM,2.490522,185.291283,28.5,0.4,0,14.4c,0,1.57,350,33
34SAT32,2011-11-02,03:41:25 AM,2011-11-01,07:41:25 PM,2.486871,185.290169,28,0.2,0,5.1cd,5,1.79,425,34
35SAT32,2011-11-02,07:40:34 AM,2011-11-01,11:40:34 PM,2.490425,185.292153,28.5,0.7,0,15.5c,5,1.43,453,35
36SAT32,2011-11-02,11:41:37 AM,2011-11-02,03:41:37 AM,2.491049,185.292068,31.5,0.97,0,17.5c,4,2.68,70,36
37SAT32,2011-11-02,03:40:34 PM,2011-11-02,07:40:34 AM,2.491961,185.289974,32.5,0.27,0,18.0c,5,0.89,253,37
38SAT32,2011-11-02,07:40:34 PM,2011-11-02,11:40:34 AM,2.493268,185.289256,29.5,0.27,0,15.6c,5,1.13,166,38
39SAT32,2011-11-02,11:40:34 PM,2011-11-02,03:40:34 PM,2.49423,185.29092,28.5,0.96,0,17.7c,4,1.98,213,39
40SAT32,2011-11-03,03:40:52 AM,2011-11-02,07:40:52 PM,2.493441,185.291372,28,0.4,0,4.1cd,0,1.4,101,40
41SAT32,2011-11-03,07:40:34 AM,2011-11-02,11:40:34 PM,2.494131,185.290906,28.5,0.3,0,3.1cd,0,1.35,93,41
42SAT32,2011-11-03,11:41:04 AM,2011-11-03,03:41:04 AM,2.492699,185.291802,32.5,0.6,0,11.9c,0,2.59,188,42
43SAT32,2011-11-03,03:41:00 PM,2011-11-03,07:41:00 AM,2.493913,185.290826,31.5,0.7,0,6.5cd,5,2.47,173,43
44SAT32,2011-11-03,07:40:34 PM,2011-11-03,11:40:34 AM,2.492059,185.289987,28.5,2.1,0,18.9c,5,1.33,226,44
45SAT32,2011-11-04,03:41:08 AM,2011-11-03,07:41:08 PM,2.512949,185.307418,28,0.62,0,26.1c,3,1.91,3023,45
46SAT32,2011-11-04,11:42:06 AM,2011-11-04,03:42:06 AM,2.523949,185.313021,31.5,0.82,0,21.8c,2,1.81,1373,46
47SAT32,2011-11-04,07:41:41 PM,2011-11-04,11:41:41 AM,2.555484,185.3275,30,0.42,0,343.4,2,2.38,3860,47
48SAT32,2011-11-04,11:40:34 PM,2011-11-04,03:40:34 PM,2.55833,185.332324,28.5,0.17,0,15.8c,3,1.2,621,48
49SAT32,2011-11-04,11:40:34 PM,2011-11-04,03:40:34 PM,2.55833,185.332324,28.5,0.1,0,15.8c,3,1.2,0,49
50SAT32,2011-11-05,03:40:35 AM,2011-11-04,07:40:35 PM,2.55985,185.334862,28.5,0.6,0,38.2c,0,1.27,328,50
51SAT32,2011-11-05,03:40:35 AM,2011-11-04,07:40:35 PM,2.55985,185.334862,28.5,0.67,0,38.2c,0,1.27,0,51
52SAT32,2011-11-05,07:42:23 AM,2011-11-04,11:42:23 PM,2.559727,185.33587,28.5,0.1,0,36.0c,2,2.14,113,52
53SAT32,2011-11-05,07:42:23 AM,2011-11-04,11:42:23 PM,2.559727,185.33587,28.5,0.17,0,36.0c,2,2.14,0,53
54SAT32,2011-11-05,11:41:06 AM,2011-11-05,03:41:06 AM,2.55996,185.337559,31.5,0.2,0,14.0c,4,2.33,189,54
55SAT32,2011-11-05,11:41:06 AM,2011-11-05,03:41:06 AM,2.55996,185.337559,31.5,0.27,0,14.0c,4,2.33,0,55
56SAT32,2011-11-05,11:41:06 AM,2011-11-05,03:41:06 AM,2.55996,185.337559,31.5,0.2,0,14.0c,5,2.33,0,56
57SAT32,2011-11-05,07:40:34 PM,2011-11-05,11:40:34 AM,2.596937,185.32162,27.5,0.57,0,23.3c,3,1.32,4479,57
58SAT32,2011-11-05,11:40:34 PM,2011-11-05,03:40:34 PM,2.60284,185.324202,27.5,0.06,0,18.3c,5,1.05,717,58
59SAT32,2011-11-06,03:40:34 AM,2011-11-05,07:40:34 PM,2.602083,185.324032,27.5,0.21,0,6.8cd,5,1.05,86,59
60SAT32,2011-11-06,07:41:05 AM,2011-11-05,11:41:05 PM,2.60173,185.323141,28,0.41,0,15.2c,0,2.6,106,60
61SAT32,2011-11-06,11:41:07 AM,2011-11-06,03:41:07 AM,2.600667,185.322722,30,0.31,0,10.3c,0,2.19,127,61
62SAT32,2011-11-06,03:40:34 PM,2011-11-06,07:40:34 AM,2.603418,185.324131,34.5,0.21,0,17.3c,5,2.23,344,62
63SAT32,2011-11-06,07:40:34 PM,2011-11-06,11:40:34 AM,2.604285,185.325226,29.5,0.35,0,4.1cd,5,1.3,155,63
64SAT32,2011-11-06,11:40:34 PM,2011-11-06,03:40:34 PM,2.607996,185.330285,28.5,0.29,0,10.2c,5,1.5,696,64
65SAT32,2011-11-07,03:40:34 AM,2011-11-06,07:40:34 PM,2.610753,185.334856,28,0.1,0,6.8cd,5,1.2,592,65
66SAT32,2011-11-07,07:40:34 AM,2011-11-06,11:40:34 PM,2.610928,185.335832,28,0.28,0,20.9c,5,1.4,110,66
67SAT32,2011-11-07,11:41:07 AM,2011-11-07,03:41:07 AM,2.603775,185.336328,29.5,3.08,0,17.6c,2,12,798,67
68SAT32,2011-11-07,07:44:12 PM,2011-11-07,11:44:12 AM,2.620862,185.357121,29.5,2.01,0,d49.0,3,1.88,2987,68
69SAT32,2011-11-07,11:40:34 PM,2011-11-07,03:40:34 PM,2.62186,185.363039,29,0.84,0,24.1c,0,2.15,665,69
70SAT32,2011-11-08,03:40:34 AM,2011-11-07,07:40:34 PM,2.623708,185.361708,28.5,0.24,0,d25.9,4,4.44,253,70
71SAT32,2011-11-08,07:41:08 AM,2011-11-07,11:41:08 PM,2.62308,185.359995,29,0.68,0,2.8cd,5,8.06,202,71
