ID,path,name,make,model,is_animal,date,time,mega,Marco,Marco_sub
DGFC_0,/private/cloud/image0.jpg,anno_image0.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-05,02:48:33 PM,"Animal, prob = 0.341","blank, prob =0.9034","monkeybaboon, prob =0.5095"
DGFC_1,/private/cloud/image1.jpg,anno_image1.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-06,04:29:55 PM,"Animal, prob = 0.999","Animal, prob =0.9999","monkeybaboon, prob =0.9269"
DGFC_2,/private/cloud/image2.jpg,anno_image2.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-07,04:29:56 PM,"Animal, prob = 0.999","Animal, prob =0.9998","monkeybaboon, prob =0.9251"
DGFC_3,/private/cloud/image3.jpg,anno_image3.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-08,04:29:57 PM,"Animal, prob = 0.999","Animal, prob =0.9999","monkeybaboon, prob =0.9192"
DGFC_4,/private/cloud/image4.jpg,anno_image4.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-09,04:30:00 PM,"Animal, prob = 0.999","Animal, prob =0.9991","monkeybaboon, prob =0.8861"
DGFC_5,/private/cloud/image5.jpg,anno_image5.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-10,04:30:01 PM,"Animal, prob = 0.999","Animal, prob =0.7345","monkeybaboon, prob =0.3550"
DGFC_6,/private/cloud/image6.jpg,anno_image6.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-11,02:28:30 PM,"Animal, prob = 0.998","Animal, prob =0.7479","leopard, prob =0.1747"
DGFC_7,/private/cloud/image7.jpg,anno_image7.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-12,02:28:31 PM,"Animal, prob = 0.987","Animal, prob =0.5867","leopard, prob =0.2933"
DGFC_8,/private/cloud/image8.jpg,anno_image8.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-13,02:28:32 PM,"Animal, prob = 0.999","blank, prob =0.8318","leopard, prob =0.3324"
DGFC_9,/private/cloud/image9.jpg,anno_image9.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-14,02:28:34 PM,"Animal, prob = 0.999","Animal, prob =0.9953","bird, prob =0.2618"
DGFC_10,/private/cloud/image10.jpg,anno_image10.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-15,02:28:35 PM,"Animal, prob = 0.999","blank, prob =0.5364","HUMAN, prob =0.4259"
DGFC_11,/private/cloud/image11.jpg,anno_image11.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-16,02:28:41 PM,"Animal, prob = 0.999","blank, prob =0.9696","leopard, prob =0.3037"
DGFC_12,/private/cloud/image12.jpg,anno_image12.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-17,02:28:42 PM,"Animal, prob = 0.997","blank, prob =0.9567","monkeybaboon, prob =0.2296"
DGFC_13,/private/cloud/image14.jpg,anno_image14.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-18,12:53:35 PM,"Animal, prob = 0.999","Animal, prob =0.6182","bird, prob =0.3911"
DGFC_14,/private/cloud/image15.jpg,anno_image15.jpg,RECONYX,PC800 PROFESSIONAL, True,2011-11-19,12:53:36 PM,"Animal, prob = 0.998","blank, prob =0.8828","bird, prob =0.3440"
