Identifier,Site,Land_Use,Plot_Name,Subplot,Horizon,Soil_pH,Total_C,Total_N,Total_P,inorganic_P,C:N,Sand,Silt,Clay
MB4,Maliau Basin Conservation Area,Unlogged,Belian,4,Organic,4.69,5.45,0.38,263.74,25.03,14.24,20.66,16.46,62.88
MB7,Maliau Basin Conservation Area,Unlogged,Belian,7,Organic,4.7,3.58,0.3,266.68,15.94,12.09,20.06,14.18,65.76
MB9,Maliau Basin Conservation Area,Unlogged,Belian,9,Organic,3.71,3.61,0.31,217.11,21.92,11.8,29.34,16.6,54.06
MB18,Maliau Basin Conservation Area,Unlogged,Belian,18,Organic,4.64,4.77,0.37,262.21,28.59,12.78,21.67,20.6,57.73
MB22,Maliau Basin Conservation Area,Unlogged,Belian,22,Organic,4,4.51,0.34,235.19,22.61,13.25,21.67,15.57,62.75
MS3,Maliau Basin Conservation Area,Unlogged,Seraya,3,Organic,5.47,3.31,0.28,293.09,15.88,11.77,25.71,15.39,58.9
MS14,Maliau Basin Conservation Area,Unlogged,Seraya,14,Organic,3.83,4.08,0.35,233.89,22.84,11.83,22.63,17.55,59.82
MS15,Maliau Basin Conservation Area,Unlogged,Seraya,15,Organic,3.82,3.71,0.3,214.8,21.46,12.23,24.49,21.04,54.48
MS18,Maliau Basin Conservation Area,Unlogged,Seraya,18,Organic,3.64,3.73,0.31,235.99,20.52,11.84,25.1,20.25,54.64
MS25,Maliau Basin Conservation Area,Unlogged,Seraya,25,Organic,3.78,3.6,0.29,190.08,17.16,12.41,20.69,17.04,62.27
DV16,Danum Valley Conservation Area,Unlogged,DV1,6,Organic,6.06,4.32,0.35,565.6,8.82,12.21,30.96,24.17,44.87
DV17,Danum Valley Conservation Area,Unlogged,DV1,7,Organic,6.17,4.08,0.3,568.16,8.18,13.46,32.48,24.42,43.1
DV19,Danum Valley Conservation Area,Unlogged,DV1,9,Organic,6.14,2.51,0.11,465.79,3.71,22.58,23.13,24.38,52.48
DV122,Danum Valley Conservation Area,Unlogged,DV1,22,Organic,6.06,7.52,0.49,603.51,23.29,15.2,32.47,22.35,45.19
DV124,Danum Valley Conservation Area,Unlogged,DV1,24,Organic,6.1,3.78,0.27,432.68,21.32,13.92,27.69,18.36,53.95
DV21,Danum Valley Conservation Area,Unlogged,DV2,1,Organic,5.31,4.5,0.35,319.38,30.83,12.92,28.97,22.01,49.02
DV28,Danum Valley Conservation Area,Unlogged,DV2,8,Organic,5.45,4.79,0.3,291.37,20.53,15.85,23.5,22.05,54.45
DV220,Danum Valley Conservation Area,Unlogged,DV2,20,Organic,5.52,3,0.23,229.19,11.58,13.24,17.24,25.75,57.01
DV223,Danum Valley Conservation Area,Unlogged,DV2,23,Organic,5.53,3.89,0.25,250.96,17.85,15.29,21.38,20.22,58.4
DV224,Danum Valley Conservation Area,Unlogged,DV2,24,Organic,5.25,2.8,0.23,212.55,16.5,12.34,20.58,24.83,54.59
SBN12,SAFE Project - Kalabakan Forest Reserve,Logged,B North,12,Organic,3.87,5.01,0.41,177.79,15.82,12.28,28.65,12.08,59.27
SBN18,SAFE Project - Kalabakan Forest Reserve,Logged,B North,18,Organic,3.92,4.87,0.33,203.57,15.42,14.6,26.45,16.43,57.13
SBN22,SAFE Project - Kalabakan Forest Reserve,Logged,B North,22,Organic,5.08,4.16,0.27,186.13,15.42,15.22,23.39,16.79,59.82
SBN24,SAFE Project - Kalabakan Forest Reserve,Logged,B North,24,Organic,4.51,4.43,0.34,255.25,14.06,13.2,32.45,18.06,49.49
SBN25,SAFE Project - Kalabakan Forest Reserve,Logged,B North,25,Organic,4.16,4.18,0.3,214.82,9.07,14.13,32.37,18.5,49.13
SBS1,SAFE Project - Kalabakan Forest Reserve,Logged,B South,1,Organic,4,4.51,0.35,279.42,23.12,12.74,24.5,21.45,54.04
SBS6,SAFE Project - Kalabakan Forest Reserve,Logged,B South,6,Organic,5.88,4.63,0.39,331.69,24.69,11.87,27.8,15.7,56.5
SBS15,SAFE Project - Kalabakan Forest Reserve,Logged,B South,15,Organic,5.54,7.62,0.55,313.31,12.86,13.96,26.96,13.8,59.24
SBS18,SAFE Project - Kalabakan Forest Reserve,Logged,B South,18,Organic,5.98,4.42,0.34,337.99,32.83,13.02,25.01,18.33,56.66
SBS19,SAFE Project - Kalabakan Forest Reserve,Logged,B South,19,Organic,4.7,4.59,0.37,249.14,21.68,12.37,28.04,26.7,45.26
SE3,SAFE Project - Kalabakan Forest Reserve,Logged,E,3,Organic,3.75,3.81,0.27,172.22,22.63,13.91,18.07,10.68,71.25
SE6,SAFE Project - Kalabakan Forest Reserve,Logged,E,6,Organic,3.68,3.22,0.26,189.62,23.52,12.42,18.54,11.66,69.8
SE12,SAFE Project - Kalabakan Forest Reserve,Logged,E,12,Organic,3.58,3.79,0.31,181,23.48,12.18,16.15,8.28,75.56
SE20,SAFE Project - Kalabakan Forest Reserve,Logged,E,20,Organic,3.51,3.93,0.25,143.35,19.66,16.01,16.78,6.75,76.47
SE24,SAFE Project - Kalabakan Forest Reserve,Logged,E,24,Organic,3.63,3.65,0.25,134.15,15.54,14.89,19.43,8.77,71.8
SLF4,SAFE Project - Kalabakan Forest Reserve,Logged,LF,4,Organic,3.27,9.92,0.55,236.12,76.44,18.16,12.82,19.49,67.69
