ID,path,name,make,model,is_animal,date,time,mega,Marco,Marco_sub
DGFC_0,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image0.jpg,anno_image0.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-25,14:48:33,"Animal, prob = 0.341","blank, prob =0.9034","monkeybaboon, prob =0.5095"
DGFC_1,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image1.jpg,anno_image1.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-25,16:29:55,"Animal, prob = 0.999","Animal, prob =0.9999","monkeybaboon, prob =0.9269"
DGFC_2,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image2.jpg,anno_image2.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-25,16:29:56,"Animal, prob = 0.999","Animal, prob =0.9998","monkeybaboon, prob =0.9251"
DGFC_3,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image3.jpg,anno_image3.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-25,16:29:57,"Animal, prob = 0.999","Animal, prob =0.9999","monkeybaboon, prob =0.9192"
DGFC_4,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image4.jpg,anno_image4.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-25,16:30:00,"Animal, prob = 0.999","Animal, prob =0.9991","monkeybaboon, prob =0.8861"
DGFC_5,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image5.jpg,anno_image5.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-25,16:30:01,"Animal, prob = 0.999","Animal, prob =0.7345","monkeybaboon, prob =0.3550"
DGFC_6,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image6.jpg,anno_image6.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-27,14:28:30,"Animal, prob = 0.998","Animal, prob =0.7479","leopard, prob =0.1747"
DGFC_7,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image7.jpg,anno_image7.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-27,14:28:31,"Animal, prob = 0.987","Animal, prob =0.5867","leopard, prob =0.2933"
DGFC_8,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image8.jpg,anno_image8.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-27,14:28:32,"Animal, prob = 0.999","blank, prob =0.8318","leopard, prob =0.3324"
DGFC_9,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image9.jpg,anno_image9.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-27,14:28:34,"Animal, prob = 0.999","Animal, prob =0.9953","bird, prob =0.2618"
