Site_name,Plot_no,Site_plot_code,Date,Tree_individual_no,Tree_ID,Tree_dbh_cm,Tree_height_m,Tree_N_lianas,Liana_dbh_cm,Tree_notes,Subplot_radius_m
Danum W15,1,F1P1,2017-07-21,2,Shorea pauciflora,110,60,3,10,,30
Danum W15,1,F1P1,2017-07-21,2,Shorea pauciflora,110,60,3,9,,30
Danum W15,1,F1P1,2017-07-21,2,Shorea pauciflora,110,60,3,9.8,,30
Danum W15,1,F1P1,2017-07-21,3,Syzygium,40.5,NA,1,3.4,,30
Danum W15,1,F1P1,2017-07-21,5,Syzygium,62.7,NA,1,3.4,,30
Danum W15,1,F1P1,2017-07-21,7,Pternandra,16.7,10,1,2.9,,20
Danum W15,1,F1P1,2017-07-21,9,Shorea argentifolia,34,NA,2,5.2,,30
Danum W15,1,F1P1,2017-07-21,9,Shorea argentifolia,34,NA,2,5.4,,30
Danum W15,1,F1P1,2017-07-21,11,Shorea fallax,23.7,15,2,2.3,,20
Danum W15,1,F1P1,2017-07-21,11,Shorea fallax,23.7,15,2,4,,20
Danum W15,1,F1P1,2017-07-21,18,Shorea johorensis,105,60,1,7,,30
Danum W15,1,F1P1,2017-07-21,19,Garcinia,14.9,NA,1,6.8,,20
Danum W15,1,F1P1,2017-07-21,17,Diospyros,17,NA,1,2.6,,20
Danum W15,1,F1P1,2017-07-21,21,Aglaia,24.5,12,1,3.1,,20
Danum W15,1,F1P1,2017-07-21,22,Dehaasia,39,NA,1,4.9,,30
Danum W15,2,F1P2,2017-07-22,24,Allophylus cobbe,36,22,2,6.2,,30
Danum W15,2,F1P2,2017-07-22,24,Allophylus cobbe,36,22,2,2.3,,30
Danum W15,2,F1P2,2017-07-22,27,Meliosma sumatrana,37.5,16,1,18,,30
Danum W15,2,F1P2,2017-07-22,28,Parashorea tomentella,65,57,1,7.5,,30
Danum W15,2,F1P2,2017-07-22,29,Shorea johorensis,34.2,NA,1,12,,30
Danum W15,2,F1P2,2017-07-22,31,Lansium domesticum,32,NA,2,2.2,,30
Danum W15,2,F1P2,2017-07-22,31,Lansium domesticum,32,NA,2,7.5,,30
Danum W15,2,F1P2,2017-07-22,32,Vatica sarawakensis,13,NA,3,4.5,,20
Danum W15,2,F1P2,2017-07-22,32,Vatica sarawakensis,13,NA,3,8.3,,20
Danum W15,2,F1P2,2017-07-22,32,Vatica sarawakensis,13,NA,3,7.8,,20
Danum W15,2,F1P2,2017-07-22,34,Syzygium,13.6,NA,1,10.3,,20
Danum W15,2,F1P2,2017-07-22,35,Canarium denticulatum,29,NA,1,3.8,,30
Danum W15,2,F1P2,2017-07-22,37,Litsea grandis,43,NA,1,4.8,,30
Danum W15,2,F1P2,2017-07-22,40,Shorea parvifolia,60,NA,2,5.6,,30
Danum W15,2,F1P2,2017-07-22,40,Shorea parvifolia,60,NA,2,3.2,,30
Danum W15,2,F1P2,2017-07-22,41,Shorea fallax,28,15,2,2.9,,30
Danum W15,2,F1P2,2017-07-22,41,Shorea fallax,28,15,2,3.5,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,4,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,5.8,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,3.4,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,5.3,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,10.8,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,2.3,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,6,,30
Danum W15,2,F1P2,2017-07-22,43,Shorea fallax,52,NA,8,3.2,,30
Danum W15,2,F1P2,2017-07-22,45,Lithocarpus,36,NA,2,3.2,,30
Danum W16,3,F1P3,2017-07-23,45,Lithocarpus,36,NA,2,7.6,,30
Danum W15,2,F1P2,2017-07-23,47,Shorea parvifolia,24,20,1,5.9,,20
Danum W15,2,F1P2,2017-07-23,49,Syzygium,55.5,NA,5,2.4,,30
Danum W15,2,F1P2,2017-07-23,49,Syzygium,55.5,NA,5,5.5,,30
Danum W15,2,F1P2,2017-07-23,49,Syzygium,55.5,NA,5,3.5,,30
Danum W15,2,F1P2,2017-07-23,49,Syzygium,55.5,NA,5,5.7,,30
Danum W15,2,F1P2,2017-07-23,49,Syzygium,55.5,NA,5,2.4,,30
Danum W15,2,F1P2,2017-07-23,57,Mallotus wrayi,10.9,NA,1,8.2,,20
Danum W15,2,F1P2,2017-07-23,58,Aporosa elmeri,13,12,2,7,,20
Danum W15,2,F1P2,2017-07-23,58,Aporosa elmeri,13,12,2,5.3,,20
Danum W15,3,F1P3,2017-07-23,65,Dehaasia,14.3,NA,1,2.5,,20
Danum W15,3,F1P3,2017-07-23,66,Shorea parvifolia,47.5,NA,6,4.2,,30
Danum W15,3,F1P3,2017-07-23,66,Shorea parvifolia,47.5,NA,6,9.8,,30
Danum W15,3,F1P3,2017-07-23,66,Shorea parvifolia,47.5,NA,6,3.4,,30
Danum W15,3,F1P3,2017-07-23,66,Shorea parvifolia,47.5,NA,6,5.1,,30
Danum W15,3,F1P3,2017-07-23,66,Shorea parvifolia,47.5,NA,6,2,,30
Danum W15,3,F1P3,2017-07-23,66,Shorea parvifolia,47.5,NA,6,3,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,11.2,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,2,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,2,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,2.8,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,11.7,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,2.8,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,3.2,,30
Danum W15,3,F1P3,2017-07-23,67,Shorea pauciflora,105.5,NA,12,16,,30
