Identifier,Site,Land_Use,Plot_Name,Subplot,NO3_N,NH4_N,Total_N,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd
MB41,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,28.8,14.8,43.6,72.18,104.51,110.14,0.14,2.22,15.62,0.09,1.48,0.04,2.81,0,11.99,0
MB42,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,32.92,14.28,47.2,417.74,295.8,245.18,0.14,3.41,16.35,0.15,1.8,0,13.91,0.04,10.04,0.05
MB43,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,8.52,9.14,17.66,203.78,149.29,199.51,0.88,1.53,6.23,0.11,1.27,0.14,9.39,0,10.52,0
MB181,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,36.36,12.38,48.74,207.67,198.09,310.98,0.27,4.43,14.48,0.08,1.85,0.18,8.26,0.02,13.03,0
MB182,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,101.82,11.96,113.78,185.42,100.25,176.08,0.08,4.32,19.88,0.04,2.81,0,10.87,0.04,14.44,0
MB183,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,37.64,9.6,47.24,164.45,83.67,635.48,0.31,2.01,7.55,0.04,0.99,0.26,4.73,0,11.65,0
MB221,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,69.96,7.76,77.72,285.02,87.56,149.94,0.03,4.04,15.55,0.06,1.06,0.03,9.99,0,26.76,0
MB222,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,64.58,5.36,69.94,132.17,87.15,298.04,0.19,4.82,7.6,0.01,1.07,0,7.47,0,14.82,0
MB223,Maliau Basin Conservation Area,Unlogged Forest,Belian,22,155.36,8.96,164.32,464.68,257.71,257.04,0.03,6.71,14.99,0.11,1.84,0.15,8.88,0.09,22.79,0
MS31,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,324.56,4.62,329.18,905.89,699.34,131.03,0.4,27.2,18.34,0.83,1.92,0,28.44,0.53,26.91,0
MS32,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,271.54,5.34,276.88,1228.83,520.87,162.71,0.2,20.37,9.4,0.92,2.6,0,26.62,0.59,11.5,0.02
MS33,Maliau Basin Conservation Area,Unlogged Forest,Seraya,3,176.3,8.8,185.1,982.74,346.81,194.26,0.18,8.13,21.69,0.4,1.64,0,28.6,0.22,17.36,0
MS141,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,130.92,6.48,137.4,168.78,460.91,66.33,0.55,10.82,17.19,0.15,1.23,0,8.53,0.31,44.08,0
MS142,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,126.6,4.46,131.06,36.51,110.1,44.04,0.64,18.78,10.38,0.17,1.33,0.01,1.9,0.19,21.27,0
MS143,Maliau Basin Conservation Area,Unlogged Forest,Seraya,14,71.3,6.86,78.16,96.4,172.32,111.42,0,49.26,14.3,0.26,1.97,0.75,4.58,0.1,38.78,0
MS251,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,130.9,8.44,139.34,126.64,156.97,185.03,1.11,29.74,13.92,0.42,1.07,0.17,24.63,0.11,43.29,0
MS252,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,82.74,6.44,89.18,60.23,115.2,317.32,0.52,10.99,18.58,0.16,1.53,0.02,2.84,0.23,29.03,0
MS253,Maliau Basin Conservation Area,Unlogged Forest,Seraya,25,341.84,5.92,347.76,142.74,141.77,147.59,0.3,23.01,30.75,0.15,0.87,0,11.43,0.23,85.37,0
DV171,Danum Valley Conservation Area,Unlogged Forest,DV1,7,52.74,1.18,53.92,489,240.87,14.76,0.22,8.01,2.88,0.09,0.18,0.18,14.96,0,10.75,0.01
DV172,Danum Valley Conservation Area,Unlogged Forest,DV1,7,78.06,1.6,79.66,1025.02,362.02,11.65,0.03,5.35,1.2,0.13,0.12,0.17,22.3,0,8.68,0.02
DV173,Danum Valley Conservation Area,Unlogged Forest,DV1,7,41.04,0.56,41.6,968.95,156.98,9.84,0.07,1.92,0.3,0.02,0.05,0,16.18,0,5.73,0
DV191,Danum Valley Conservation Area,Unlogged Forest,DV1,9,29.53,1.24,30.77,1305.33,417,10.82,1.04,4.15,1.63,0.07,0,0,21.21,0,7.96,0
DV192,Danum Valley Conservation Area,Unlogged Forest,DV1,9,114.3,1.14,115.44,1384.71,412.06,24.53,0.84,6.14,0.53,0.33,0.06,0,32.7,0,8.85,0
DV193,Danum Valley Conservation Area,Unlogged Forest,DV1,9,63.94,1,64.94,2466.52,262.36,18.91,2.94,3.59,0.26,0.04,0.12,0,12.11,0,11.68,0
DV1241,Danum Valley Conservation Area,Unlogged Forest,DV1,24,124.96,1.24,126.2,2200,356.06,162.77,2.4,1.11,0.62,0.14,0.26,0,30.38,0,6.63,0
DV1242,Danum Valley Conservation Area,Unlogged Forest,DV1,24,29.66,2,31.66,1026.74,369.09,23.56,0.26,5.09,0.9,0.23,0,0.57,16.91,0,10.31,0
DV1243,Danum Valley Conservation Area,Unlogged Forest,DV1,24,216.28,14.14,230.42,1242.47,209.06,129.2,2.82,17.65,12.65,0.41,0.43,0.35,32.25,0,10.3,0
DV281,Danum Valley Conservation Area,Unlogged Forest,DV2,8,5.92,3.32,9.24,82.75,97.1,33,0,4.19,1.52,0.07,0.36,0.13,6.21,0.08,5.11,0.04
DV282,Danum Valley Conservation Area,Unlogged Forest,DV2,8,10.42,1.5,11.92,36.41,239.57,37.53,0.04,2.03,0.54,0.05,0.16,0,2.84,0.01,6.04,0.01
