Identifier,Site,Land_Use,Plot_Name,Subplot,Horizon,Soil_Moisture,Horizon_Depth,Bulk_Density,Soil_pH,total_C,total_N,Inorganic_P,C:N,C:P
MB41,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,Organic,25.69,4,0.46,4.84,4.44,0.37,36.64,11.93,0.12
MB42,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,Organic,39.79,2.5,0.76,4.95,7.65,0.55,33.2,13.83,0.23
MB43,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,Organic,28.26,1,0.43,6,6.67,0.42,32.35,15.84,0.21
MB44,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,Organic,32.05,2,0.32,5.47,3.9,0.3,31.86,13.1,0.12
MB45,Maliau Basin Conservation Area,Unlogged Forest,Belian,4,Organic,42.75,3.5,0.32,6.42,8.06,0.47,34.77,17.15,0.23
MB71,Maliau Basin Conservation Area,Unlogged Forest,Belian,7,Organic,24.06,1.5,0.82,4.82,5.71,0.37,22.91,15.55,0.25
MB72,Maliau Basin Conservation Area,Unlogged Forest,Belian,7,Organic,50.05,3,0.43,5.26,5.56,0.45,23.82,12.46,0.23
MB73,Maliau Basin Conservation Area,Unlogged Forest,Belian,7,Organic,19.48,2.5,0.57,5.92,5.26,0.41,14.23,12.68,0.37
MB74,Maliau Basin Conservation Area,Unlogged Forest,Belian,7,Organic,27.06,2.5,0.41,5.85,3.51,0.28,15.62,12.46,0.22
MB75,Maliau Basin Conservation Area,Unlogged Forest,Belian,7,Organic,21.93,3,0.46,5.97,4.45,0.37,16.08,12.02,0.28
MB91,Maliau Basin Conservation Area,Unlogged Forest,Belian,9,Organic,27.74,3.5,0.33,4.47,5.16,0.37,24.55,13.87,0.21
MB92,Maliau Basin Conservation Area,Unlogged Forest,Belian,9,Organic,35.74,3,0.21,4.93,5.23,0.34,20.03,15.4,0.26
MB93,Maliau Basin Conservation Area,Unlogged Forest,Belian,9,Organic,21.48,2,0.49,4.93,4.38,0.32,17.57,13.77,0.25
MB94,Maliau Basin Conservation Area,Unlogged Forest,Belian,9,Organic,26.44,2,0.27,5.06,5.18,0.42,20.5,12.48,0.25
MB95,Maliau Basin Conservation Area,Unlogged Forest,Belian,9,Organic,23.14,3.5,0.36,5.16,3.94,0.3,18.5,13.14,0.21
MB181,Maliau Basin Conservation Area,Unlogged Forest,Belian,18,Organic,33.46,3,0.26,4.96,9.86,0.55,54.69,17.98,0.18
